"Path","Size","Ext","IsBak","IsBinary"
"feeddeck/src-tauri/Cargo.lock","141043",".lock","no","no"
"feeddeck/src-tauri/icons/icon.icns","98451",".icns","no","no"
"feeddeck/src-tauri/icons/icon.ico","86642",".ico","no","yes"
"feeddeck/src-tauri/icons/icon.png","14183",".png","no","yes"
"visualizador-algoritmos/script.js","10492",".js","no","no"
"feeddeck/src-tauri/src/fetcher.rs","8806",".rs","no","no"
"feeddeck/src-tauri/icons/Square310x310Logo.png","8591",".png","no","yes"
"feeddeck/src-tauri/icons/Square284x284Logo.png","7737",".png","no","yes"
"feeddeck/src-tauri/icons/128x128@2x.png","7012",".png","no","yes"
"feeddeck/src/App.tsx","6066",".tsx","no","no"
"feeddeck/src/styles.css.bak","5700",".bak","yes","no"
"feeddeck/src/styles.css","5413",".css","no","no"
"feeddeck/src-tauri/src/database.rs","5024",".rs","no","no"
"feeddeck/src/assets/react.svg","4126",".svg","no","no"
"feeddeck/src-tauri/icons/Square150x150Logo.png","3966",".png","no","yes"
"feeddeck/README.md","3895",".md","no","no"
"feeddeck/src-tauri/icons/Square142x142Logo.png","3858",".png","no","yes"
"monitor-precos/monitor.py","3638",".py","no","no"
"monitor-precos/readme.md","3613",".md","no","no"
"visualizador-algoritmos/style.css","3552",".css","no","no"
"feeddeck/src-tauri/icons/128x128.png","3512",".png","no","yes"
"web-clima/script.js","3293",".js","no","no"
"visualizador-algoritmos/readme.md","3139",".md","no","no"
"resumidor-automatico/js/resumidor.js","2994",".js","no","no"
"chat-em-tempo-real/README.md","2946",".md","no","no"
"feeddeck/src-tauri/icons/Square107x107Logo.png","2863",".png","no","yes"
"resumidor-automatico/resumidor.html","2860",".html","no","no"
"feeddeck/src-tauri/src/main.rs","2755",".rs","no","no"
"feeddeck/public/tauri.svg","2605",".svg","no","no"
"web-clima/readme.md","2513",".md","no","no"
"feeddeck/src-tauri/icons/Square89x89Logo.png","2468",".png","no","yes"
"feeddeck/src-tauri/icons/Square71x71Logo.png","2011",".png","no","yes"
"visualizador-algoritmos/index.html","1746",".html","no","no"
"chat-em-tempo-real/server.js","1739",".js","no","no"
"web-clima/style.css","1663",".css","no","no"
"chat-em-tempo-real/public/style.css","1596",".css","no","no"
"feeddeck/src-tauri/icons/StoreLogo.png","1523",".png","no","yes"
"feeddeck/public/vite.svg","1497",".svg","no","no"
"resumidor-automatico/readme.md","1461",".md","no","no"
"chat-em-tempo-real/public/client.js","1331",".js","no","no"
"feeddeck/src-tauri/icons/Square44x44Logo.png","1299",".png","no","yes"
"feeddeck/src-tauri/icons/32x32.png","974",".png","no","yes"
"resumidor-automatico/style.css","971",".css","no","no"
"web-clima/index.html","956",".html","no","no"
"feeddeck/src-tauri/icons/Square30x30Logo.png","903",".png","no","yes"
"feeddeck/src-tauri/Cargo.toml.bak","741",".bak","yes","no"
"feeddeck/src-tauri/tauri.conf.json","728",".json","no","no"
"feeddeck/src-tauri/Cargo.toml","712",".toml","no","no"
"feeddeck/src-tauri/src/models.rs","633",".rs","no","no"
"feeddeck/tsconfig.json","630",".json","no","no"
"feeddeck/vite.config.ts","630",".ts","no","no"
"feeddeck/package.json","610",".json","no","no"
"chat-em-tempo-real/public/index.html","575",".html","no","no"
"feeddeck/index.html","390",".html","no","no"
"chat-em-tempo-real/package.json","322",".json","no","no"
"feeddeck/src/main.tsx","293",".tsx","no","no"
"feeddeck/src-tauri/capabilities/default.json","205",".json","no","no"
"feeddeck/src-tauri/build.rs","186",".rs","no","no"
"feeddeck/src-tauri/.gitignore","173",".gitignore","no","no"
"feeddeck/src/vite-env.d.ts","39",".ts","no","no"
"monitor-precos/requirements.txt","24",".txt","no","no"
